"pid","hhid","ppid","gender","age","resp_status","religion","caste","didsurv"
"6300101",63001,1,"Male",45,NA,NA,NA,NA
"6300102",63001,2,"Female",40,"Spouse of Head of Household","HINDUISM","OBC",1
"6300103",63001,3,"Male",13,NA,NA,NA,NA
"6300104",63001,4,"Male",11,NA,NA,NA,NA
"6300201",63002,1,"Female",50,NA,NA,NA,NA
"6300202",63002,2,"Male",25,NA,NA,NA,NA
"6300203",63002,3,"Male",23,NA,NA,NA,NA
"6300204",63002,4,"Male",48,NA,NA,NA,NA
"6300205",63002,5,"Female",36,NA,NA,NA,NA
"6300206",63002,6,"Female",70,NA,NA,NA,NA
"6300207",63002,7,"Female",18,NA,NA,NA,NA
"6300301",63003,1,"Male",38,NA,NA,NA,NA
"6300302",63003,2,"Female",35,NA,NA,NA,NA
"6300303",63003,3,"Male",11,NA,NA,NA,NA
"6300304",63003,4,"Female",6,NA,NA,NA,NA
"6300305",63003,5,"Male",60,NA,NA,NA,NA
"6300401",63004,1,"Male",62,NA,NA,NA,NA
"6300402",63004,2,"Female",55,NA,NA,NA,NA
"6300403",63004,3,"Male",35,NA,NA,NA,NA
"6300404",63004,4,"Female",30,NA,NA,NA,NA
"6300405",63004,5,"Female",9,NA,NA,NA,NA
"6300406",63004,6,"Male",7,NA,NA,NA,NA
"6300501",63005,1,"Male",38,NA,NA,NA,NA
"6300502",63005,2,"Female",35,NA,NA,NA,NA
"6300503",63005,3,"Male",16,NA,NA,NA,NA
"6300504",63005,4,"Female",12,NA,NA,NA,NA
"6300601",63006,1,"Male",50,"Head of Household","HINDUISM","OBC",1
"6300602",63006,2,"Female",45,"Spouse of Head of Household","HINDUISM","OBC",1
"6300603",63006,3,"Female",35,"Spouse of Head of Household","HINDUISM","OBC",1
"6300604",63006,4,"Male",26,NA,NA,NA,NA
"6300701",63007,1,"Male",60,"Head of Household","HINDUISM","OBC",1
"6300702",63007,2,"Female",55,"Spouse of Head of Household","HINDUISM","OBC",1
"6300703",63007,3,"Male",32,NA,NA,NA,NA
"6300704",63007,4,"Female",25,NA,NA,NA,NA
"6300705",63007,5,"Male",28,"Other","HINDUISM","OBC",1
"6300706",63007,6,"Female",25,"Other","HINDUISM","OBC",1
"6300707",63007,7,"Female",4,NA,NA,NA,NA
"6300708",63007,8,"Male",2,NA,NA,NA,NA
"6300801",63008,1,"Male",33,"Head of Household","HINDUISM","OBC",1
"6300802",63008,2,"Female",27,"Spouse of Head of Household","HINDUISM","OBC",1
"6300803",63008,3,"Male",8,NA,NA,NA,NA
"6300804",63008,4,"Male",28,"Other","HINDUISM","OBC",1
"6300805",63008,5,"Female",25,"Other","HINDUISM","OBC",1
"6300806",63008,6,"Male",1,NA,NA,NA,NA
"6300807",63008,7,"Male",1,NA,NA,NA,NA
"6300808",63008,8,"Male",60,NA,NA,NA,NA
"6300809",63008,9,"Female",55,NA,NA,NA,NA
"6300901",63009,1,"Male",48,"Head of Household","HINDUISM","OBC",1
"6300902",63009,2,"Female",38,"Spouse of Head of Household","HINDUISM","OBC",1
"6300903",63009,3,"Female",21,"Other","HINDUISM","OBC",1
"6301001",63010,1,"Male",36,"Head of Household","HINDUISM","OBC",1
"6301002",63010,2,"Female",25,"Spouse of Head of Household","HINDUISM","OBC",1
"6301003",63010,3,"Male",3,NA,NA,NA,NA
"6301004",63010,4,"Female",11,NA,NA,NA,NA
"6301005",63010,5,"Male",65,NA,NA,NA,NA
"6301006",63010,6,"Female",55,NA,NA,NA,NA
"6301101",63011,1,"Male",55,NA,NA,NA,NA
"6301102",63011,2,"Female",50,NA,NA,NA,NA
"6301103",63011,3,"Male",22,NA,NA,NA,NA
"6301201",63012,1,"Male",24,"Head of Household","HINDUISM","OBC",1
"6301202",63012,2,"Female",14,NA,NA,NA,NA
"6301203",63012,3,"Male",50,"Other","HINDUISM","OBC",1
"6301204",63012,4,"Female",45,"Other","HINDUISM","OBC",1
"6301301",63013,1,"Female",45,"Head of Household","HINDUISM","OBC",1
"6301401",63014,1,"Male",40,NA,NA,NA,NA
"6301402",63014,2,"Female",36,NA,NA,NA,NA
"6301403",63014,3,"Female",15,NA,NA,NA,NA
"6301404",63014,4,"Female",13,NA,NA,NA,NA
"6301405",63014,5,"Female",65,NA,NA,NA,NA
"6301406",63014,6,"Male",20,NA,NA,NA,NA
"6301501",63015,1,"Male",60,NA,NA,NA,NA
"6301502",63015,2,"Female",50,NA,NA,NA,NA
"6301503",63015,3,"Male",30,NA,NA,NA,NA
"6301504",63015,4,"Female",22,NA,NA,NA,NA
"6301505",63015,5,"Male",27,NA,NA,NA,NA
"6301601",63016,1,"Male",39,"Head of Household","HINDUISM","OBC",1
"6301602",63016,2,"Female",28,"Spouse of Head of Household","HINDUISM","OBC",1
"6301603",63016,3,"Female",13,NA,NA,NA,NA
"6301604",63016,4,"Male",10,NA,NA,NA,NA
"6301605",63016,5,"Male",24,NA,NA,NA,NA
"6301606",63016,6,"Male",55,"Other","HINDUISM","OBC",1
"6301607",63016,7,"Female",50,"Other","HINDUISM","OBC",1
"6301701",63017,1,"Female",35,NA,NA,NA,NA
"6301702",63017,2,"Female",9,NA,NA,NA,NA
"6301703",63017,3,"Male",7,NA,NA,NA,NA
"6301704",63017,4,"Male",18,NA,NA,NA,NA
"6301705",63017,5,"Male",90,NA,NA,NA,NA
"6301706",63017,6,"Female",75,NA,NA,NA,NA
"6301707",63017,7,"Male",45,NA,NA,NA,NA
"6301801",63018,1,"Male",63,NA,NA,NA,NA
"6301802",63018,2,"Female",52,"Spouse of Head of Household","HINDUISM","OBC",1
"6301803",63018,3,"Male",40,NA,NA,NA,NA
"6301804",63018,4,"Female",30,"Other","HINDUISM","OBC",1
"6301805",63018,5,"Male",7,NA,NA,NA,NA
"6301806",63018,6,"Female",9,NA,NA,NA,NA
"6301807",63018,7,"Male",30,NA,NA,NA,NA
"6301901",63019,1,"Male",55,NA,NA,NA,NA
"6301902",63019,2,"Female",45,NA,NA,NA,NA
"6301903",63019,3,"Male",26,NA,NA,NA,NA
"6301904",63019,4,"Female",22,NA,NA,NA,NA
"6301905",63019,5,"Male",5,NA,NA,NA,NA
"6302001",63020,1,"Male",45,NA,NA,NA,NA
"6302002",63020,2,"Female",38,NA,NA,NA,NA
"6302003",63020,3,"Female",20,NA,NA,NA,NA
"6302004",63020,4,"Male",18,NA,NA,NA,NA
"6302101",63021,1,"Male",65,"Head of Household","HINDUISM","OBC",1
"6302102",63021,2,"Female",55,"Spouse of Head of Household","HINDUISM","OBC",1
"6302103",63021,3,"Male",30,NA,NA,NA,NA
"6302104",63021,4,"Female",25,NA,NA,NA,NA
"6302105",63021,5,"Female",6,NA,NA,NA,NA
"6302106",63021,6,"Male",1,NA,NA,NA,NA
"6302107",63021,7,"Female",20,"Other","HINDUISM","OBC",1
"6302201",63022,1,"Male",48,"Head of Household","HINDUISM","OBC",1
"6302202",63022,2,"Female",38,"Spouse of Head of Household","HINDUISM","OBC",1
"6302203",63022,3,"Female",12,NA,NA,NA,NA
"6302204",63022,4,"Female",10,NA,NA,NA,NA
"6302205",63022,5,"Male",5,NA,NA,NA,NA
"6302206",63022,6,"Male",33,NA,NA,NA,NA
"6302207",63022,7,"Female",49,"Other","HINDUISM","OBC",1
"6302208",63022,8,"Male",22,NA,NA,NA,NA
"6302209",63022,9,"Male",70,NA,NA,NA,NA
"6302210",63022,10,"Female",65,NA,NA,NA,NA
"6302301",63023,1,"Male",50,"Head of Household","HINDUISM","OBC",1
"6302302",63023,2,"Female",40,"Spouse of Head of Household","HINDUISM","OBC",1
"6302303",63023,3,"Male",17,NA,NA,NA,NA
"6302304",63023,4,"Female",65,NA,NA,NA,NA
"6302401",63024,1,"Male",51,NA,NA,NA,NA
"6302402",63024,2,"Female",43,NA,NA,NA,NA
"6302403",63024,3,"Male",25,NA,NA,NA,NA
"6302404",63024,4,"Male",23,NA,NA,NA,NA
