"pid","hhid","ppid","gender","age","resp_status","religion","caste","didsurv"
"1600101",16001,1,"Male",60,"Head of Household","HINDUISM","OBC",1
"1600102",16001,2,"Female",55,"Spouse of Head of Household","HINDUISM","OBC",1
"1600103",16001,3,"Male",38,"Other","HINDUISM","OBC",1
"1600104",16001,4,"Female",35,"Spouse of Head of Household","HINDUISM","OBC",1
"1600105",16001,5,"Female",16,NA,NA,NA,NA
"1600106",16001,6,"Female",14,NA,NA,NA,NA
"1600107",16001,7,"Male",12,NA,NA,NA,NA
"1600201",16002,1,"Male",63,NA,NA,NA,NA
"1600202",16002,2,"Female",55,NA,NA,NA,NA
"1600203",16002,3,"Male",26,NA,NA,NA,NA
"1600204",16002,4,"Female",24,NA,NA,NA,NA
"1600205",16002,5,"Male",20,NA,NA,NA,NA
"1600301",16003,1,"Male",42,NA,NA,NA,NA
"1600302",16003,2,"Female",32,NA,NA,NA,NA
"1600303",16003,3,"Female",12,NA,NA,NA,NA
"1600304",16003,4,"Female",7,NA,NA,NA,NA
"1600305",16003,5,"Male",5,NA,NA,NA,NA
"1600401",16004,1,"Male",65,"Head of Household","HINDUISM","OBC",1
"1600402",16004,2,"Female",60,"Spouse of Head of Household","HINDUISM","OBC",1
"1600403",16004,3,"Male",30,"Other","HINDUISM","OBC",1
"1600404",16004,4,"Female",25,"Other","HINDUISM","OBC",1
"1600405",16004,5,"Male",3,NA,NA,NA,NA
"1600406",16004,6,"Female",1,NA,NA,NA,NA
"1600407",16004,7,"Male",25,"Other","HINDUISM","OBC",1
"1600408",16004,8,"Female",22,"Other","HINDUISM","OBC",1
"1600409",16004,9,"Female",2,NA,NA,NA,NA
"1600410",16004,10,"Male",18,NA,NA,NA,NA
"1600411",16004,11,"Female",32,"Other","HINDUISM","OBC",1
"1600412",16004,12,"Male",9,NA,NA,NA,NA
"1600501",16005,1,"Male",45,"Head of Household","HINDUISM","OBC",1
"1600502",16005,2,"Female",40,"Spouse of Head of Household","HINDUISM","OBC",1
"1600503",16005,3,"Male",22,NA,NA,NA,NA
"1600504",16005,4,"Female",18,"Other","HINDUISM","OBC",1
"1600601",16006,1,"Male",50,NA,NA,NA,NA
"1600602",16006,2,"Female",45,NA,NA,NA,NA
"1600603",16006,3,"Female",35,NA,NA,NA,NA
"1600604",16006,4,"Female",13,NA,NA,NA,NA
"1600605",16006,5,"Female",12,NA,NA,NA,NA
"1600606",16006,6,"Male",10,NA,NA,NA,NA
"1600701",16007,1,"Male",50,NA,NA,NA,NA
"1600702",16007,2,"Female",46,NA,NA,NA,NA
"1600703",16007,3,"Male",24,NA,NA,NA,NA
"1600704",16007,4,"Female",20,NA,NA,NA,NA
"1600705",16007,5,"Male",13,NA,NA,NA,NA
"1600801",16008,1,"Male",35,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"1600802",16008,2,"Female",30,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1600803",16008,3,"Female",12,NA,NA,NA,NA
"1600804",16008,4,"Male",8,NA,NA,NA,NA
"1600901",16009,1,"Male",55,"Head of Household","HINDUISM","OBC",1
"1600902",16009,2,"Female",42,"Spouse of Head of Household","HINDUISM","OBC",1
"1600903",16009,3,"Female",21,"Other","HINDUISM","OBC",1
"1600904",16009,4,"Male",20,NA,NA,NA,NA
"1600905",16009,5,"Male",19,NA,NA,NA,NA
"1600906",16009,6,"Male",17,NA,NA,NA,NA
"1601001",16010,1,"Male",60,NA,NA,NA,NA
"1601002",16010,2,"Female",55,NA,NA,NA,NA
"1601003",16010,3,"Female",16,NA,NA,NA,NA
"1601004",16010,4,"Male",13,NA,NA,NA,NA
"1601101",16011,1,"Male",33,NA,NA,NA,NA
"1601102",16011,2,"Female",28,NA,NA,NA,NA
"1601103",16011,3,"Female",12,NA,NA,NA,NA
"1601104",16011,4,"Male",9,NA,NA,NA,NA
"1601201",16012,1,"Female",60,NA,NA,NA,NA
"1601202",16012,2,"Male",28,NA,NA,NA,NA
"1601301",16013,1,"Male",35,"Head of Household","HINDUISM","OBC",1
"1601302",16013,2,"Female",25,"Spouse of Head of Household","HINDUISM","OBC",1
"1601303",16013,3,"Male",7,NA,NA,NA,NA
"1601304",16013,4,"Female",5,NA,NA,NA,NA
"1601401",16014,1,"Male",45,NA,NA,NA,NA
"1601501",16015,1,"Male",42,NA,NA,NA,NA
"1601502",16015,2,"Female",40,NA,NA,NA,NA
"1601503",16015,3,"Male",22,NA,NA,NA,NA
"1601504",16015,4,"Female",19,NA,NA,NA,NA
"1601505",16015,5,"Female",18,NA,NA,NA,NA
"1601601",16016,1,"Female",50,NA,NA,NA,NA
"1601602",16016,2,"Male",20,NA,NA,NA,NA
"1601603",16016,3,"Male",16,NA,NA,NA,NA
"1601604",16016,4,"Male",13,NA,NA,NA,NA
"1601701",16017,1,"Male",32,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"1601702",16017,2,"Female",25,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1601801",16018,1,"Female",40,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"1601802",16018,2,"Female",18,"Other","HINDUISM","SCHEDULED CASTE",1
"1601803",16018,3,"Female",16,NA,NA,NA,NA
"1601804",16018,4,"Female",14,NA,NA,NA,NA
"1601805",16018,5,"Male",12,NA,NA,NA,NA
"1601901",16019,1,"Male",38,NA,NA,NA,NA
"1601902",16019,2,"Female",27,NA,NA,NA,NA
"1601903",16019,3,"Male",9,NA,NA,NA,NA
"1601904",16019,4,"Female",7,NA,NA,NA,NA
"1601905",16019,5,"Male",5,NA,NA,NA,NA
"1601906",16019,6,"Female",56,NA,NA,NA,NA
"1602001",16020,1,"Male",42,NA,NA,NA,NA
"1602002",16020,2,"Female",37,NA,NA,NA,NA
"1602003",16020,3,"Female",33,NA,NA,NA,NA
"1602004",16020,4,"Male",17,NA,NA,NA,NA
"1602005",16020,5,"Male",15,NA,NA,NA,NA
"1602006",16020,6,"Male",13,NA,NA,NA,NA
"1602007",16020,7,"Female",8,NA,NA,NA,NA
"1602101",16021,1,"Male",48,"Head of Household","HINDUISM","OBC",1
"1602102",16021,2,"Female",38,"Spouse of Head of Household","HINDUISM","GENERAL",1
"1602103",16021,3,"Male",22,NA,NA,NA,NA
"1602104",16021,4,"Male",18,NA,NA,NA,NA
"1602105",16021,5,"Female",14,NA,NA,NA,NA
"1602106",16021,6,"Female",55,NA,NA,NA,NA
"1602201",16022,1,"Male",58,NA,NA,NA,NA
"1602202",16022,2,"Female",43,NA,NA,NA,NA
"1602203",16022,3,"Female",20,NA,NA,NA,NA
"1602204",16022,4,"Male",18,NA,NA,NA,NA
"1602301",16023,1,"Male",50,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"1602302",16023,2,"Female",45,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1602303",16023,3,"Female",30,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1602304",16023,4,"Male",25,NA,NA,NA,NA
"1602305",16023,5,"Female",10,NA,NA,NA,NA
"1602306",16023,6,"Male",8,NA,NA,NA,NA
"1602307",16023,7,"Male",5,NA,NA,NA,NA
"1602308",16023,8,"Female",60,NA,NA,NA,NA
"1602401",16024,1,"Male",40,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"1602402",16024,2,"Female",30,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1602403",16024,3,"Male",15,NA,NA,NA,NA
"1602404",16024,4,"Female",14,NA,NA,NA,NA
"1602405",16024,5,"Female",70,NA,NA,NA,NA
"1602406",16024,6,"Male",35,NA,NA,NA,NA
"1602501",16025,1,"Male",28,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"1602502",16025,2,"Female",22,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1602503",16025,3,"Female",6,NA,NA,NA,NA
"1602504",16025,4,"Female",4,NA,NA,NA,NA
"1602505",16025,5,"Female",12,NA,NA,NA,NA
"1602601",16026,1,"Male",65,NA,NA,NA,NA
"1602602",16026,2,"Female",45,NA,NA,NA,NA
"1602701",16027,1,"Male",35,"Head of Household","HINDUISM","SCHEDULED TRIBE",1
"1602702",16027,2,"Female",23,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1602703",16027,3,"Female",7,NA,NA,NA,NA
"1602704",16027,4,"Male",5,NA,NA,NA,NA
"1602801",16028,1,"Male",36,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"1602802",16028,2,"Female",28,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1602803",16028,3,"Male",8,NA,NA,NA,NA
"1602901",16029,1,"Male",49,"Head of Household","HINDUISM","OBC",1
"1602902",16029,2,"Female",40,"Spouse of Head of Household","HINDUISM","OBC",1
"1602903",16029,3,"Female",38,"Spouse of Head of Household","HINDUISM","OBC",1
"1602904",16029,4,"Male",26,"Other","HINDUISM","OBC",1
"1602905",16029,5,"Female",19,"Other","HINDUISM","OBC",1
"1602906",16029,6,"Male",5,NA,NA,NA,NA
"1602907",16029,7,"Male",10,NA,NA,NA,NA
"1602908",16029,8,"Female",17,NA,NA,NA,NA
"1603001",16030,1,"Male",46,NA,NA,NA,NA
"1603002",16030,2,"Female",38,NA,NA,NA,NA
"1603003",16030,3,"Male",23,NA,NA,NA,NA
"1603004",16030,4,"Female",19,NA,NA,NA,NA
"1603005",16030,5,"Male",20,NA,NA,NA,NA
"1603101",16031,1,"Female",34,"Head of Household","HINDUISM","OBC",1
"1603102",16031,2,"Male",18,NA,NA,NA,NA
"1603103",16031,3,"Female",16,NA,NA,NA,NA
"1603201",16032,1,"Female",55,NA,NA,NA,NA
"1603301",16033,1,"Female",35,"Spouse of Head of Household","HINDUISM","OBC",1
"1603302",16033,2,"Female",14,NA,NA,NA,NA
"1603303",16033,3,"Female",14,NA,NA,NA,NA
"1603401",16034,1,"Male",38,NA,NA,NA,NA
"1603402",16034,2,"Female",30,NA,NA,NA,NA
"1603403",16034,3,"Male",8,NA,NA,NA,NA
"1603501",16035,1,"Male",55,"Head of Household","HINDUISM","SCHEDULED TRIBE",1
"1603502",16035,2,"Male",30,"Other","HINDUISM","SCHEDULED TRIBE",1
"1603503",16035,3,"Female",25,"Other","HINDUISM","SCHEDULED TRIBE",1
"1603504",16035,4,"Female",5,NA,NA,NA,NA
"1603505",16035,5,"Male",3,NA,NA,NA,NA
"1603506",16035,6,"Male",27,NA,NA,NA,NA
"1603601",16036,1,"Male",42,"Head of Household","HINDUISM","OBC",1
"1603602",16036,2,"Female",32,"Spouse of Head of Household","HINDUISM","OBC",1
"1603603",16036,3,"Female",30,"Spouse of Head of Household","HINDUISM","OBC",1
"1603604",16036,4,"Female",14,NA,NA,NA,NA
"1603605",16036,5,"Male",13,NA,NA,NA,NA
"1603701",16037,1,"Male",40,"Head of Household","HINDUISM","OBC",1
"1603702",16037,2,"Female",38,"Spouse of Head of Household","HINDUISM","OBC",1
"1603703",16037,3,"Male",17,NA,NA,NA,NA
"1603704",16037,4,"Female",14,NA,NA,NA,NA
"1603801",16038,1,"Male",70,"Head of Household","HINDUISM","OBC",1
"1603802",16038,2,"Female",30,"Other","HINDUISM","OBC",1
"1603803",16038,3,"Male",17,NA,NA,NA,NA
"1603901",16039,1,"Male",38,NA,NA,NA,NA
"1603902",16039,2,"Female",30,NA,NA,NA,NA
"1603903",16039,3,"Male",13,NA,NA,NA,NA
"1603904",16039,4,"Female",9,NA,NA,NA,NA
"1603905",16039,5,"Male",65,NA,NA,NA,NA
"1603906",16039,6,"Female",55,NA,NA,NA,NA
"1603907",16039,7,"Female",30,NA,NA,NA,NA
"1604001",16040,1,"Male",35,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"1604002",16040,2,"Female",31,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1604003",16040,3,"Female",12,NA,NA,NA,NA
"1604004",16040,4,"Female",9,NA,NA,NA,NA
"1604005",16040,5,"Male",5,NA,NA,NA,NA
"1604101",16041,1,"Male",70,NA,NA,NA,NA
"1604102",16041,2,"Female",65,NA,NA,NA,NA
"1604201",16042,1,"Male",70,NA,NA,NA,NA
"1604202",16042,2,"Female",60,NA,NA,NA,NA
"1604203",16042,3,"Male",45,NA,NA,NA,NA
"1604204",16042,4,"Female",35,NA,NA,NA,NA
"1604205",16042,5,"Female",13,NA,NA,NA,NA
"1604206",16042,6,"Female",10,NA,NA,NA,NA
"1604207",16042,7,"Female",7,NA,NA,NA,NA
"1604301",16043,1,"Male",55,NA,NA,NA,NA
"1604302",16043,2,"Female",40,NA,NA,NA,NA
"1604303",16043,3,"Male",25,NA,NA,NA,NA
"1604304",16043,4,"Male",21,NA,NA,NA,NA
"1604401",16044,1,"Male",35,NA,NA,NA,NA
"1604402",16044,2,"Female",30,NA,NA,NA,NA
"1604403",16044,3,"Male",10,NA,NA,NA,NA
"1604404",16044,4,"Male",8,NA,NA,NA,NA
"1604501",16045,1,"Male",29,NA,NA,NA,NA
"1604502",16045,2,"Female",27,NA,NA,NA,NA
"1604503",16045,3,"Male",8,NA,NA,NA,NA
"1604504",16045,4,"Male",6,NA,NA,NA,NA
"1604601",16046,1,"Female",38,NA,NA,NA,NA
"1604602",16046,2,"Male",14,NA,NA,NA,NA
"1604603",16046,3,"Female",12,NA,NA,NA,NA
"1604701",16047,1,"Male",60,"Head of Household","HINDUISM","OBC",1
"1604702",16047,2,"Female",50,"Spouse of Head of Household","HINDUISM","OBC",1
"1604703",16047,3,"Female",18,"Other","HINDUISM","OBC",1
"1604704",16047,4,"Male",14,NA,NA,NA,NA
"1604801",16048,1,"Male",75,NA,NA,NA,NA
"1604802",16048,2,"Female",66,NA,NA,NA,NA
"1604803",16048,3,"Female",30,NA,NA,NA,NA
"1604901",16049,1,"Male",35,NA,NA,NA,NA
"1604902",16049,2,"Female",25,NA,NA,NA,NA
"1604903",16049,3,"Female",22,NA,NA,NA,NA
"1604904",16049,4,"Female",9,NA,NA,NA,NA
"1605001",16050,1,"Male",40,NA,NA,NA,NA
"1605002",16050,2,"Female",34,NA,NA,NA,NA
"1605003",16050,3,"Male",10,NA,NA,NA,NA
"1605004",16050,4,"Female",7,NA,NA,NA,NA
"1605101",16051,1,"Male",40,NA,NA,NA,NA
"1605102",16051,2,"Female",35,NA,NA,NA,NA
"1605103",16051,3,"Female",13,NA,NA,NA,NA
"1605104",16051,4,"Female",11,NA,NA,NA,NA
"1605105",16051,5,"Male",9,NA,NA,NA,NA
"1605201",16052,1,"Male",35,NA,NA,NA,NA
"1605202",16052,2,"Female",20,NA,NA,NA,NA
"1605203",16052,3,"Female",20,NA,NA,NA,NA
"1605204",16052,4,"Female",10,NA,NA,NA,NA
"1605205",16052,5,"Female",7,NA,NA,NA,NA
"1605206",16052,6,"Female",8,NA,NA,NA,NA
"1605207",16052,7,"Female",6,NA,NA,NA,NA
"1605208",16052,8,"Male",2,NA,NA,NA,NA
"1605301",16053,1,"Male",50,NA,NA,NA,NA
"1605302",16053,2,"Female",30,NA,NA,NA,NA
"1605401",16054,1,"Male",45,"Head of Household","HINDUISM","SCHEDULED TRIBE",1
"1605402",16054,2,"Female",35,"Spouse of Head of Household","HINDUISM","SCHEDULED TRIBE",1
"1605403",16054,3,"Female",32,"Spouse of Head of Household","HINDUISM","SCHEDULED TRIBE",1
"1605404",16054,4,"Male",17,NA,NA,NA,NA
"1605405",16054,5,"Male",10,NA,NA,NA,NA
"1605406",16054,6,"Female",70,NA,NA,NA,NA
"1605501",16055,1,"Male",28,"Head of Household","HINDUISM","SCHEDULED TRIBE",1
"1605502",16055,2,"Male",26,NA,NA,NA,NA
"1605503",16055,3,"Male",23,NA,NA,NA,NA
"1605504",16055,4,"Male",21,NA,NA,NA,NA
"1605505",16055,5,"Female",14,NA,NA,NA,NA
"1605506",16055,6,"Female",50,"Other","HINDUISM","SCHEDULED TRIBE",1
"1605601",16056,1,"Male",38,NA,NA,NA,NA
"1605602",16056,2,"Female",34,NA,NA,NA,NA
"1605603",16056,3,"Female",14,NA,NA,NA,NA
"1605604",16056,4,"Male",12,NA,NA,NA,NA
"1605701",16057,1,"Male",38,NA,NA,NA,NA
"1605702",16057,2,"Female",22,NA,NA,NA,NA
"1605703",16057,3,"Female",6,NA,NA,NA,NA
"1605704",16057,4,"Female",1,NA,NA,NA,NA
