"pid","hhid","ppid","gender","age","resp_status","religion","caste","didsurv"
"5400101",54001,1,"Male",60,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"5400102",54001,2,"Female",55,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"5400103",54001,3,"Male",35,"Other","HINDUISM","SCHEDULED CASTE",1
"5400104",54001,4,"Female",25,"Other","HINDUISM","SCHEDULED CASTE",1
"5400105",54001,5,"Female",4,NA,NA,NA,NA
"5400106",54001,6,"Male",30,NA,NA,NA,NA
"5400107",54001,7,"Female",20,NA,NA,NA,NA
"5400108",54001,8,"Female",3,NA,NA,NA,NA
"5400201",54002,1,"Male",30,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"5400202",54002,2,"Female",25,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"5400203",54002,3,"Male",70,NA,NA,NA,NA
"5400301",54003,1,"Male",40,NA,NA,NA,NA
"5400302",54003,2,"Female",35,NA,NA,NA,NA
"5400303",54003,3,"Male",15,NA,NA,NA,NA
"5400304",54003,4,"Female",13,NA,NA,NA,NA
"5400401",54004,1,"Male",35,NA,NA,NA,NA
"5400402",54004,2,"Female",27,NA,NA,NA,NA
"5400403",54004,3,"Male",8,NA,NA,NA,NA
"5400404",54004,4,"Male",5,NA,NA,NA,NA
"5400405",54004,5,"Male",65,NA,NA,NA,NA
"5400406",54004,6,"Female",55,NA,NA,NA,NA
"5400501",54005,1,"Male",60,NA,NA,NA,NA
"5400502",54005,2,"Female",50,NA,NA,NA,NA
"5400503",54005,3,"Male",22,NA,NA,NA,NA
"5400504",54005,4,"Male",20,NA,NA,NA,NA
"5400505",54005,5,"Male",18,NA,NA,NA,NA
"5400506",54005,6,"Male",16,NA,NA,NA,NA
"5400507",54005,7,"Female",14,NA,NA,NA,NA
"5400508",54005,8,"Male",10,NA,NA,NA,NA
"5400601",54006,1,"Male",60,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"5400602",54006,2,"Female",45,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"5400603",54006,3,"Male",22,NA,NA,NA,NA
"5400604",54006,4,"Male",20,NA,NA,NA,NA
"5400605",54006,5,"Female",18,"Other","HINDUISM","SCHEDULED CASTE",1
"5400606",54006,6,"Female",16,NA,NA,NA,NA
"5400607",54006,7,"Male",15,NA,NA,NA,NA
"5400701",54007,1,"Male",45,NA,NA,NA,NA
"5400702",54007,2,"Female",40,NA,NA,NA,NA
"5400703",54007,3,"Male",22,NA,NA,NA,NA
"5400704",54007,4,"Female",15,NA,NA,NA,NA
"5400705",54007,5,"Male",13,NA,NA,NA,NA
"5400801",54008,1,"Male",42,NA,NA,NA,NA
"5400802",54008,2,"Female",38,NA,NA,NA,NA
"5400803",54008,3,"Female",18,NA,NA,NA,NA
"5400804",54008,4,"Male",15,NA,NA,NA,NA
"5400805",54008,5,"Female",68,NA,NA,NA,NA
"5400901",54009,1,"Male",45,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"5400902",54009,2,"Female",40,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"5401001",54010,1,"Male",38,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"5401002",54010,2,"Female",30,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"5401003",54010,3,"Male",8,NA,NA,NA,NA
"5401004",54010,4,"Male",85,NA,NA,NA,NA
"5401005",54010,5,"Female",70,NA,NA,NA,NA
"5401101",54011,1,"Male",65,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"5401102",54011,2,"Female",59,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"5401103",54011,3,"Male",35,"Other","HINDUISM","SCHEDULED CASTE",1
"5401104",54011,4,"Female",29,"Other","HINDUISM","SCHEDULED CASTE",1
"5401105",54011,5,"Male",4,NA,NA,NA,NA
"5401106",54011,6,"Male",33,"Other","HINDUISM","SCHEDULED CASTE",1
"5401107",54011,7,"Female",26,NA,NA,NA,NA
"5401108",54011,8,"Male",3,NA,NA,NA,NA
"5401109",54011,9,"Male",29,NA,NA,NA,NA
"5401110",54011,10,"Female",21,NA,NA,NA,NA
"5401111",54011,11,"Female",82,NA,NA,NA,NA
"5401201",54012,1,"Male",35,NA,NA,NA,NA
"5401202",54012,2,"Female",30,NA,NA,NA,NA
"5401203",54012,3,"Female",11,NA,NA,NA,NA
"5401204",54012,4,"Male",10,NA,NA,NA,NA
"5401301",54013,1,"Male",65,NA,NA,NA,NA
"5401302",54013,2,"Female",55,NA,NA,NA,NA
"5401303",54013,3,"Male",35,NA,NA,NA,NA
"5401304",54013,4,"Female",30,NA,NA,NA,NA
"5401305",54013,5,"Female",8,NA,NA,NA,NA
"5401306",54013,6,"Male",7,NA,NA,NA,NA
"5401401",54014,1,"Male",68,NA,NA,NA,NA
"5401402",54014,2,"Female",50,NA,NA,NA,NA
"5401403",54014,3,"Male",28,NA,NA,NA,NA
"5401404",54014,4,"Male",20,NA,NA,NA,NA
"5401501",54015,1,"Female",42,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"5401502",54015,2,"Male",19,NA,NA,NA,NA
"5401503",54015,3,"Female",17,NA,NA,NA,NA
"5401504",54015,4,"Female",15,NA,NA,NA,NA
"5401505",54015,5,"Female",4,NA,NA,NA,NA
"5401601",54016,1,"Male",55,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"5401602",54016,2,"Female",50,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"5401603",54016,3,"Male",21,NA,NA,NA,NA
"5401701",54017,1,"Female",60,NA,NA,NA,NA
"5401801",54018,1,"Male",50,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"5401802",54018,2,"Female",40,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"5401803",54018,3,"Male",19,NA,NA,NA,NA
"5401804",54018,4,"Male",14,NA,NA,NA,NA
"5401901",54019,1,"Female",47,NA,NA,NA,NA
"5401902",54019,2,"Male",20,NA,NA,NA,NA
"5402001",54020,1,"Male",50,"Head of Household","HINDUISM","SCHEDULED CASTE",1
